account_id,customer_id,account_type,account_status,currency_code,branch_code,open_date,available_balance,account_country,relationship_tier
ACCT_SYN_000041,CUST_SYN_000041,SETTLEMENT,ACTIVE,GBP,SYN-BR-002,2025-06-08,349679.00,US,STRATEGIC
ACCT_SYN_000042,CUST_SYN_000042,CHECKING,ACTIVE,USD,SYN-BR-003,2025-06-07,357598.00,GB,STANDARD
ACCT_SYN_000043,CUST_SYN_000043,OPERATING,ACTIVE,EUR,SYN-BR-004,2025-06-06,365517.00,DE,PRIORITY
ACCT_SYN_000044,CUST_SYN_000044,SETTLEMENT,ACTIVE,GBP,SYN-BR-005,2025-06-05,373436.00,SG,STRATEGIC
ACCT_SYN_000045,CUST_SYN_000045,CHECKING,ACTIVE,USD,SYN-BR-006,2025-06-04,381355.00,US,STANDARD
ACCT_SYN_000046,CUST_SYN_000046,OPERATING,ACTIVE,EUR,SYN-BR-007,2025-06-03,389274.00,GB,PRIORITY
ACCT_SYN_000047,CUST_SYN_000047,SETTLEMENT,ACTIVE,GBP,SYN-BR-008,2025-06-02,397193.00,DE,STRATEGIC
ACCT_SYN_000048,CUST_SYN_000048,CHECKING,ACTIVE,USD,SYN-BR-009,2025-06-01,405112.00,SG,STANDARD
ACCT_SYN_000049,CUST_SYN_000049,OPERATING,ACTIVE,EUR,SYN-BR-010,2025-05-31,413031.00,US,PRIORITY
ACCT_SYN_000050,CUST_SYN_000050,SETTLEMENT,ACTIVE,GBP,SYN-BR-011,2025-05-30,420950.00,GB,STRATEGIC
ACCT_SYN_000051,CUST_SYN_000051,CHECKING,ACTIVE,USD,SYN-BR-012,2025-05-29,428869.00,DE,STANDARD
ACCT_SYN_000052,CUST_SYN_000052,OPERATING,ACTIVE,EUR,SYN-BR-013,2025-05-28,436788.00,SG,PRIORITY
ACCT_SYN_000053,CUST_SYN_000053,SETTLEMENT,ACTIVE,GBP,SYN-BR-014,2025-05-27,444707.00,US,STRATEGIC
ACCT_SYN_000054,CUST_SYN_000054,CHECKING,ACTIVE,USD,SYN-BR-015,2025-05-26,452626.00,GB,STANDARD
ACCT_SYN_000055,CUST_SYN_000055,OPERATING,ACTIVE,EUR,SYN-BR-016,2025-05-25,460545.00,DE,PRIORITY
ACCT_SYN_000056,CUST_SYN_000056,SETTLEMENT,ACTIVE,GBP,SYN-BR-017,2025-05-24,468464.00,SG,STRATEGIC
ACCT_SYN_000057,CUST_SYN_000057,CHECKING,ACTIVE,USD,SYN-BR-018,2025-05-23,476383.00,US,STANDARD
ACCT_SYN_000058,CUST_SYN_000058,OPERATING,ACTIVE,EUR,SYN-BR-019,2025-05-22,484302.00,GB,PRIORITY
ACCT_SYN_000059,CUST_SYN_000059,SETTLEMENT,ACTIVE,GBP,SYN-BR-020,2025-05-21,492221.00,DE,STRATEGIC
ACCT_SYN_000060,CUST_SYN_000060,CHECKING,ACTIVE,USD,SYN-BR-001,2025-05-20,500140.00,SG,STANDARD
ACCT_SYN_000061,CUST_SYN_000061,OPERATING,ACTIVE,EUR,SYN-BR-002,2025-05-19,508059.00,US,PRIORITY
ACCT_SYN_000062,CUST_SYN_000062,SETTLEMENT,ACTIVE,GBP,SYN-BR-003,2025-05-18,515978.00,GB,STRATEGIC
ACCT_SYN_000063,CUST_SYN_000063,CHECKING,ACTIVE,USD,SYN-BR-004,2025-05-17,523897.00,DE,STANDARD
ACCT_SYN_000064,CUST_SYN_000064,OPERATING,ACTIVE,EUR,SYN-BR-005,2025-05-16,531816.00,SG,PRIORITY
ACCT_SYN_000065,CUST_SYN_000065,SETTLEMENT,ACTIVE,GBP,SYN-BR-006,2025-05-15,539735.00,US,STRATEGIC
ACCT_SYN_000066,CUST_SYN_000066,CHECKING,ACTIVE,USD,SYN-BR-007,2025-05-14,547654.00,GB,STANDARD
ACCT_SYN_000067,CUST_SYN_000067,OPERATING,ACTIVE,EUR,SYN-BR-008,2025-05-13,555573.00,DE,PRIORITY
ACCT_SYN_000068,CUST_SYN_000068,SETTLEMENT,ACTIVE,GBP,SYN-BR-009,2025-05-12,563492.00,SG,STRATEGIC
ACCT_SYN_000069,CUST_SYN_000069,CHECKING,ACTIVE,USD,SYN-BR-010,2025-05-11,571411.00,US,STANDARD
ACCT_SYN_000070,CUST_SYN_000070,OPERATING,ACTIVE,EUR,SYN-BR-011,2025-05-10,579330.00,GB,PRIORITY
ACCT_SYN_000071,CUST_SYN_000071,SETTLEMENT,ACTIVE,GBP,SYN-BR-012,2025-05-09,587249.00,DE,STRATEGIC
ACCT_SYN_000072,CUST_SYN_000072,CHECKING,ACTIVE,USD,SYN-BR-013,2025-05-08,595168.00,SG,STANDARD
ACCT_SYN_000073,CUST_SYN_000073,OPERATING,ACTIVE,EUR,SYN-BR-014,2025-05-07,603087.00,US,PRIORITY
ACCT_SYN_000074,CUST_SYN_000074,SETTLEMENT,ACTIVE,GBP,SYN-BR-015,2025-05-06,611006.00,GB,STRATEGIC
ACCT_SYN_000075,CUST_SYN_000075,CHECKING,ACTIVE,USD,SYN-BR-016,2025-05-05,618925.00,DE,STANDARD
ACCT_SYN_000076,CUST_SYN_000076,OPERATING,ACTIVE,EUR,SYN-BR-017,2025-05-04,626844.00,SG,PRIORITY
ACCT_SYN_000077,CUST_SYN_000077,SETTLEMENT,ACTIVE,GBP,SYN-BR-018,2025-05-03,634763.00,US,STRATEGIC
ACCT_SYN_000078,CUST_SYN_000078,CHECKING,ACTIVE,USD,SYN-BR-019,2025-05-02,642682.00,GB,STANDARD
ACCT_SYN_000079,CUST_SYN_000079,OPERATING,ACTIVE,EUR,SYN-BR-020,2025-05-01,650601.00,DE,PRIORITY
ACCT_SYN_000080,CUST_SYN_000080,SETTLEMENT,ACTIVE,GBP,SYN-BR-001,2025-04-30,658520.00,SG,STRATEGIC
ACCT_SYN_000081,CUST_SYN_000081,CHECKING,ACTIVE,USD,SYN-BR-002,2025-04-29,666439.00,US,STANDARD
ACCT_SYN_000082,CUST_SYN_000082,OPERATING,ACTIVE,EUR,SYN-BR-003,2025-04-28,674358.00,GB,PRIORITY
ACCT_SYN_000083,CUST_SYN_000083,SETTLEMENT,ACTIVE,GBP,SYN-BR-004,2025-04-27,682277.00,DE,STRATEGIC
ACCT_SYN_000084,CUST_SYN_000084,CHECKING,ACTIVE,USD,SYN-BR-005,2025-04-26,690196.00,SG,STANDARD
ACCT_SYN_000085,CUST_SYN_000085,OPERATING,ACTIVE,EUR,SYN-BR-006,2025-04-25,698115.00,US,PRIORITY
ACCT_SYN_000086,CUST_SYN_000086,SETTLEMENT,ACTIVE,GBP,SYN-BR-007,2025-04-24,706034.00,GB,STRATEGIC
ACCT_SYN_000087,CUST_SYN_000087,CHECKING,ACTIVE,USD,SYN-BR-008,2025-04-23,713953.00,DE,STANDARD
ACCT_SYN_000088,CUST_SYN_000088,OPERATING,ACTIVE,EUR,SYN-BR-009,2025-04-22,721872.00,SG,PRIORITY
ACCT_SYN_000089,CUST_SYN_000089,SETTLEMENT,ACTIVE,GBP,SYN-BR-010,2025-04-21,729791.00,US,STRATEGIC
ACCT_SYN_000090,CUST_SYN_000090,CHECKING,ACTIVE,USD,SYN-BR-011,2025-04-20,737710.00,GB,STANDARD
ACCT_SYN_000091,CUST_SYN_000091,OPERATING,ACTIVE,EUR,SYN-BR-012,2025-04-19,745629.00,DE,PRIORITY
ACCT_SYN_000092,CUST_SYN_000092,SETTLEMENT,ACTIVE,GBP,SYN-BR-013,2025-04-18,753548.00,SG,STRATEGIC
ACCT_SYN_000093,CUST_SYN_000093,CHECKING,ACTIVE,USD,SYN-BR-014,2025-04-17,761467.00,US,STANDARD
ACCT_SYN_000094,CUST_SYN_000094,OPERATING,ACTIVE,EUR,SYN-BR-015,2025-04-16,769386.00,GB,PRIORITY
ACCT_SYN_000095,CUST_SYN_000095,SETTLEMENT,ACTIVE,GBP,SYN-BR-016,2025-04-15,777305.00,DE,STRATEGIC
ACCT_SYN_000096,CUST_SYN_000096,CHECKING,ACTIVE,USD,SYN-BR-017,2025-04-14,785224.00,SG,STANDARD
ACCT_SYN_000097,CUST_SYN_000097,OPERATING,ACTIVE,EUR,SYN-BR-018,2025-04-13,793143.00,US,PRIORITY
ACCT_SYN_000098,CUST_SYN_000098,SETTLEMENT,ACTIVE,GBP,SYN-BR-019,2025-04-12,801062.00,GB,STRATEGIC
ACCT_SYN_000099,CUST_SYN_000099,CHECKING,ACTIVE,USD,SYN-BR-020,2025-04-11,808981.00,DE,STANDARD
ACCT_SYN_000100,CUST_SYN_000100,OPERATING,ACTIVE,EUR,SYN-BR-001,2025-04-10,816900.00,SG,PRIORITY
ACCT_SYN_000101,CUST_SYN_000101,SETTLEMENT,ACTIVE,GBP,SYN-BR-002,2025-04-09,824819.00,US,STRATEGIC
ACCT_SYN_000102,CUST_SYN_000102,CHECKING,ACTIVE,USD,SYN-BR-003,2025-04-08,832738.00,GB,STANDARD
ACCT_SYN_000103,CUST_SYN_000103,OPERATING,ACTIVE,EUR,SYN-BR-004,2025-04-07,840657.00,DE,PRIORITY
ACCT_SYN_000104,CUST_SYN_000104,SETTLEMENT,ACTIVE,GBP,SYN-BR-005,2025-04-06,848576.00,SG,STRATEGIC
ACCT_SYN_000105,CUST_SYN_000105,CHECKING,ACTIVE,USD,SYN-BR-006,2025-04-05,856495.00,US,STANDARD
ACCT_SYN_000106,CUST_SYN_000106,OPERATING,ACTIVE,EUR,SYN-BR-007,2025-04-04,864414.00,GB,PRIORITY
ACCT_SYN_000107,CUST_SYN_000107,SETTLEMENT,ACTIVE,GBP,SYN-BR-008,2025-04-03,872333.00,DE,STRATEGIC
ACCT_SYN_000108,CUST_SYN_000108,CHECKING,ACTIVE,USD,SYN-BR-009,2025-04-02,880252.00,SG,STANDARD
ACCT_SYN_000109,CUST_SYN_000109,OPERATING,ACTIVE,EUR,SYN-BR-010,2025-04-01,888171.00,US,PRIORITY
ACCT_SYN_000110,CUST_SYN_000110,SETTLEMENT,ACTIVE,GBP,SYN-BR-011,2025-03-31,896090.00,GB,STRATEGIC
ACCT_SYN_000111,CUST_SYN_000111,CHECKING,ACTIVE,USD,SYN-BR-012,2025-03-30,904009.00,DE,STANDARD
ACCT_SYN_000112,CUST_SYN_000112,OPERATING,ACTIVE,EUR,SYN-BR-013,2025-03-29,911928.00,SG,PRIORITY
ACCT_SYN_000113,CUST_SYN_000113,SETTLEMENT,ACTIVE,GBP,SYN-BR-014,2025-03-28,919847.00,US,STRATEGIC
ACCT_SYN_000114,CUST_SYN_000114,CHECKING,ACTIVE,USD,SYN-BR-015,2025-03-27,927766.00,GB,STANDARD
ACCT_SYN_000115,CUST_SYN_000115,OPERATING,ACTIVE,EUR,SYN-BR-016,2025-03-26,935685.00,DE,PRIORITY
ACCT_SYN_000116,CUST_SYN_000116,SETTLEMENT,ACTIVE,GBP,SYN-BR-017,2025-03-25,943604.00,SG,STRATEGIC
ACCT_SYN_000117,CUST_SYN_000117,CHECKING,ACTIVE,USD,SYN-BR-018,2025-03-24,951523.00,US,STANDARD
ACCT_SYN_000118,CUST_SYN_000118,OPERATING,ACTIVE,EUR,SYN-BR-019,2025-03-23,959442.00,GB,PRIORITY
ACCT_SYN_000119,CUST_SYN_000119,SETTLEMENT,ACTIVE,GBP,SYN-BR-020,2025-03-22,967361.00,DE,STRATEGIC
ACCT_SYN_000120,CUST_SYN_000120,CHECKING,ACTIVE,USD,SYN-BR-001,2025-03-21,25280.00,SG,STANDARD
ACCT_SYN_000121,CUST_SYN_000121,OPERATING,ACTIVE,EUR,SYN-BR-002,2025-03-20,33199.00,US,PRIORITY
ACCT_SYN_000122,CUST_SYN_000122,SETTLEMENT,ACTIVE,GBP,SYN-BR-003,2025-03-19,41118.00,GB,STRATEGIC
ACCT_SYN_000123,CUST_SYN_000123,CHECKING,ACTIVE,USD,SYN-BR-004,2025-03-18,49037.00,DE,STANDARD
ACCT_SYN_000124,CUST_SYN_000124,OPERATING,ACTIVE,EUR,SYN-BR-005,2025-03-17,56956.00,SG,PRIORITY
ACCT_SYN_000125,CUST_SYN_000125,SETTLEMENT,ACTIVE,GBP,SYN-BR-006,2025-03-16,64875.00,US,STRATEGIC
ACCT_SYN_000126,CUST_SYN_000126,CHECKING,ACTIVE,USD,SYN-BR-007,2025-03-15,72794.00,GB,STANDARD
ACCT_SYN_000127,CUST_SYN_000127,OPERATING,ACTIVE,EUR,SYN-BR-008,2025-03-14,80713.00,DE,PRIORITY
ACCT_SYN_000128,CUST_SYN_000128,SETTLEMENT,ACTIVE,GBP,SYN-BR-009,2025-03-13,88632.00,SG,STRATEGIC
ACCT_SYN_000129,CUST_SYN_000129,CHECKING,ACTIVE,USD,SYN-BR-010,2025-03-12,96551.00,US,STANDARD
ACCT_SYN_000130,CUST_SYN_000130,OPERATING,ACTIVE,EUR,SYN-BR-011,2025-03-11,104470.00,GB,PRIORITY
ACCT_SYN_000131,CUST_SYN_000131,SETTLEMENT,ACTIVE,GBP,SYN-BR-012,2025-03-10,112389.00,DE,STRATEGIC
ACCT_SYN_000132,CUST_SYN_000132,CHECKING,ACTIVE,USD,SYN-BR-013,2025-03-09,120308.00,SG,STANDARD
ACCT_SYN_000133,CUST_SYN_000133,OPERATING,ACTIVE,EUR,SYN-BR-014,2025-03-08,128227.00,US,PRIORITY
ACCT_SYN_000134,CUST_SYN_000134,SETTLEMENT,ACTIVE,GBP,SYN-BR-015,2025-03-07,136146.00,GB,STRATEGIC
ACCT_SYN_000135,CUST_SYN_000135,CHECKING,ACTIVE,USD,SYN-BR-016,2025-03-06,144065.00,DE,STANDARD
ACCT_SYN_000136,CUST_SYN_000136,OPERATING,ACTIVE,EUR,SYN-BR-017,2025-03-05,151984.00,SG,PRIORITY
ACCT_SYN_000137,CUST_SYN_000137,SETTLEMENT,ACTIVE,GBP,SYN-BR-018,2025-03-04,159903.00,US,STRATEGIC
ACCT_SYN_000138,CUST_SYN_000138,CHECKING,ACTIVE,USD,SYN-BR-019,2025-03-03,167822.00,GB,STANDARD
ACCT_SYN_000139,CUST_SYN_000139,OPERATING,ACTIVE,EUR,SYN-BR-020,2025-03-02,175741.00,DE,PRIORITY
ACCT_SYN_000140,CUST_SYN_000140,SETTLEMENT,ACTIVE,GBP,SYN-BR-001,2025-03-01,183660.00,SG,STRATEGIC
ACCT_SYN_000141,CUST_SYN_000141,CHECKING,ACTIVE,USD,SYN-BR-002,2025-02-28,191579.00,US,STANDARD
ACCT_SYN_000142,CUST_SYN_000142,OPERATING,ACTIVE,EUR,SYN-BR-003,2025-02-27,199498.00,GB,PRIORITY
ACCT_SYN_000143,CUST_SYN_000143,SETTLEMENT,ACTIVE,GBP,SYN-BR-004,2025-02-26,207417.00,DE,STRATEGIC
ACCT_SYN_000144,CUST_SYN_000144,CHECKING,ACTIVE,USD,SYN-BR-005,2025-02-25,215336.00,SG,STANDARD
ACCT_SYN_000145,CUST_SYN_000145,OPERATING,ACTIVE,EUR,SYN-BR-006,2025-02-24,223255.00,US,PRIORITY
ACCT_SYN_000146,CUST_SYN_000146,SETTLEMENT,ACTIVE,GBP,SYN-BR-007,2025-02-23,231174.00,GB,STRATEGIC
ACCT_SYN_000147,CUST_SYN_000147,CHECKING,ACTIVE,USD,SYN-BR-008,2025-02-22,239093.00,DE,STANDARD
ACCT_SYN_000148,CUST_SYN_000148,OPERATING,ACTIVE,EUR,SYN-BR-009,2025-02-21,247012.00,SG,PRIORITY
ACCT_SYN_000149,CUST_SYN_000149,SETTLEMENT,ACTIVE,GBP,SYN-BR-010,2025-02-20,254931.00,US,STRATEGIC
ACCT_SYN_000150,CUST_SYN_000150,CHECKING,ACTIVE,USD,SYN-BR-011,2025-02-19,262850.00,GB,STANDARD
ACCT_SYN_000151,CUST_SYN_000151,OPERATING,ACTIVE,EUR,SYN-BR-012,2025-02-18,270769.00,DE,PRIORITY
ACCT_SYN_000152,CUST_SYN_000152,SETTLEMENT,ACTIVE,GBP,SYN-BR-013,2025-02-17,278688.00,SG,STRATEGIC
ACCT_SYN_000153,CUST_SYN_000153,CHECKING,ACTIVE,USD,SYN-BR-014,2025-02-16,286607.00,US,STANDARD
ACCT_SYN_000154,CUST_SYN_000154,OPERATING,ACTIVE,EUR,SYN-BR-015,2025-02-15,294526.00,GB,PRIORITY
ACCT_SYN_000155,CUST_SYN_000155,SETTLEMENT,ACTIVE,GBP,SYN-BR-016,2025-02-14,302445.00,DE,STRATEGIC
ACCT_SYN_000156,CUST_SYN_000156,CHECKING,ACTIVE,USD,SYN-BR-017,2025-02-13,310364.00,SG,STANDARD
ACCT_SYN_000157,CUST_SYN_000157,OPERATING,ACTIVE,EUR,SYN-BR-018,2025-02-12,318283.00,US,PRIORITY
ACCT_SYN_000158,CUST_SYN_000158,SETTLEMENT,ACTIVE,GBP,SYN-BR-019,2025-02-11,326202.00,GB,STRATEGIC
ACCT_SYN_000159,CUST_SYN_000159,CHECKING,ACTIVE,USD,SYN-BR-020,2025-02-10,334121.00,DE,STANDARD
ACCT_SYN_000160,CUST_SYN_000160,OPERATING,ACTIVE,EUR,SYN-BR-001,2025-02-09,342040.00,SG,PRIORITY
ACCT_SYN_000161,CUST_SYN_000161,SETTLEMENT,ACTIVE,GBP,SYN-BR-002,2025-02-08,349959.00,US,STRATEGIC
ACCT_SYN_000162,CUST_SYN_000162,CHECKING,ACTIVE,USD,SYN-BR-003,2025-02-07,357878.00,GB,STANDARD
ACCT_SYN_000163,CUST_SYN_000163,OPERATING,ACTIVE,EUR,SYN-BR-004,2025-02-06,365797.00,DE,PRIORITY
ACCT_SYN_000164,CUST_SYN_000164,SETTLEMENT,ACTIVE,GBP,SYN-BR-005,2025-02-05,373716.00,SG,STRATEGIC
ACCT_SYN_000165,CUST_SYN_000165,CHECKING,ACTIVE,USD,SYN-BR-006,2025-02-04,381635.00,US,STANDARD
ACCT_SYN_000166,CUST_SYN_000166,OPERATING,ACTIVE,EUR,SYN-BR-007,2025-02-03,389554.00,GB,PRIORITY
ACCT_SYN_000167,CUST_SYN_000167,SETTLEMENT,ACTIVE,GBP,SYN-BR-008,2025-02-02,397473.00,DE,STRATEGIC
ACCT_SYN_000168,CUST_SYN_000168,CHECKING,ACTIVE,USD,SYN-BR-009,2025-02-01,405392.00,SG,STANDARD
ACCT_SYN_000169,CUST_SYN_000169,OPERATING,ACTIVE,EUR,SYN-BR-010,2025-01-31,413311.00,US,PRIORITY
ACCT_SYN_000170,CUST_SYN_000170,SETTLEMENT,ACTIVE,GBP,SYN-BR-011,2025-01-30,421230.00,GB,STRATEGIC
ACCT_SYN_000171,CUST_SYN_000171,CHECKING,ACTIVE,USD,SYN-BR-012,2025-01-29,429149.00,DE,STANDARD
ACCT_SYN_000172,CUST_SYN_000172,OPERATING,ACTIVE,EUR,SYN-BR-013,2025-01-28,437068.00,SG,PRIORITY
ACCT_SYN_000173,CUST_SYN_000173,SETTLEMENT,ACTIVE,GBP,SYN-BR-014,2025-01-27,444987.00,US,STRATEGIC
ACCT_SYN_000174,CUST_SYN_000174,CHECKING,ACTIVE,USD,SYN-BR-015,2025-01-26,452906.00,GB,STANDARD
ACCT_SYN_000175,CUST_SYN_000175,OPERATING,ACTIVE,EUR,SYN-BR-016,2025-01-25,460825.00,DE,PRIORITY
ACCT_SYN_000176,CUST_SYN_000176,SETTLEMENT,ACTIVE,GBP,SYN-BR-017,2025-01-24,468744.00,SG,STRATEGIC
ACCT_SYN_000177,CUST_SYN_000177,CHECKING,ACTIVE,USD,SYN-BR-018,2025-01-23,476663.00,US,STANDARD
ACCT_SYN_000178,CUST_SYN_000178,OPERATING,ACTIVE,EUR,SYN-BR-019,2025-01-22,484582.00,GB,PRIORITY
ACCT_SYN_000179,CUST_SYN_000179,SETTLEMENT,ACTIVE,GBP,SYN-BR-020,2025-01-21,492501.00,DE,STRATEGIC
ACCT_SYN_000180,CUST_SYN_000180,CHECKING,ACTIVE,USD,SYN-BR-001,2025-01-20,500420.00,SG,STANDARD
ACCT_SYN_000181,CUST_SYN_000181,OPERATING,ACTIVE,EUR,SYN-BR-002,2025-01-19,508339.00,US,PRIORITY
ACCT_SYN_000182,CUST_SYN_000182,SETTLEMENT,ACTIVE,GBP,SYN-BR-003,2025-01-18,516258.00,GB,STRATEGIC
ACCT_SYN_000183,CUST_SYN_000183,CHECKING,ACTIVE,USD,SYN-BR-004,2025-01-17,524177.00,DE,STANDARD
ACCT_SYN_000184,CUST_SYN_000184,OPERATING,ACTIVE,EUR,SYN-BR-005,2025-01-16,532096.00,SG,PRIORITY
ACCT_SYN_000185,CUST_SYN_000185,SETTLEMENT,ACTIVE,GBP,SYN-BR-006,2025-01-15,540015.00,US,STRATEGIC
ACCT_SYN_000186,CUST_SYN_000186,CHECKING,ACTIVE,USD,SYN-BR-007,2025-01-14,547934.00,GB,STANDARD
ACCT_SYN_000187,CUST_SYN_000187,OPERATING,ACTIVE,EUR,SYN-BR-008,2025-01-13,555853.00,DE,PRIORITY
ACCT_SYN_000188,CUST_SYN_000188,SETTLEMENT,ACTIVE,GBP,SYN-BR-009,2025-01-12,563772.00,SG,STRATEGIC
ACCT_SYN_000189,CUST_SYN_000189,CHECKING,ACTIVE,USD,SYN-BR-010,2025-01-11,571691.00,US,STANDARD
ACCT_SYN_000190,CUST_SYN_000190,OPERATING,ACTIVE,EUR,SYN-BR-011,2025-01-10,579610.00,GB,PRIORITY
ACCT_SYN_000191,CUST_SYN_000191,SETTLEMENT,ACTIVE,GBP,SYN-BR-012,2025-01-09,587529.00,DE,STRATEGIC
ACCT_SYN_000192,CUST_SYN_000192,CHECKING,ACTIVE,USD,SYN-BR-013,2025-01-08,595448.00,SG,STANDARD
ACCT_SYN_000193,CUST_SYN_000193,OPERATING,ACTIVE,EUR,SYN-BR-014,2025-01-07,603367.00,US,PRIORITY
ACCT_SYN_000194,CUST_SYN_000194,SETTLEMENT,ACTIVE,GBP,SYN-BR-015,2025-01-06,611286.00,GB,STRATEGIC
